SURVEYID,DEVICEID,TIMESTAMP,DATE,TIME,TEMP,RH,FLTP,WLEV,BVOLT,BLEV
gb-sasbjep,gb-sasbjep-zero,1703544698,12/25/2023,22:51,255,255,0,1431,3.45,81.92
gb-sasbjep,gb-sasbjep-zero,1703545298,12/25/2023,23:01,21.63,255,0,1431,3.44,81.82
gb-sasbjep,gb-sasbjep-zero,1703545898,12/25/2023,23:11,21.61,255,0,1431,3.44,81.92
gb-sasbjep,gb-sasbjep-zero,1703546498,12/25/2023,23:21,21.58,255,0,1432,3.44,81.82
gb-sasbjep,gb-sasbjep-zero,1703547097,12/25/2023,23:31,255,255,0,1433,3.44,81.72
gb-sasbjep,gb-sasbjep-zero,1703547698,12/25/2023,23:41,21.55,255,0,1433,3.44,81.72
gb-sasbjep,gb-sasbjep-zero,1703548297,12/25/2023,23:51,255,60.66,0,1433,3.43,81.72
gb-sasbjep,gb-sasbjep-zero,1703548898,12/26/2023,0:01,255,60.83,0,1434,3.43,81.62
gb-sasbjep,gb-sasbjep-zero,1703549497,12/26/2023,0:11,255,255,0,1434,3.43,81.52
gb-sasbjep,gb-sasbjep-zero,1703550098,12/26/2023,0:21,21.5,255,0,1433,3.43,81.52
gb-sasbjep,gb-sasbjep-zero,1703550697,12/26/2023,0:31,21.47,255,0,1434,3.43,81.43
gb-sasbjep,gb-sasbjep-zero,1703551298,12/26/2023,0:41,21.48,255,0,1434,3.42,81.43
gb-sasbjep,gb-sasbjep-zero,1703551897,12/26/2023,0:51,21.45,255,0,1434,3.43,81.33
gb-sasbjep,gb-sasbjep-zero,1703552498,12/26/2023,1:01,21.47,255,0,1436,3.42,81.33
gb-sasbjep,gb-sasbjep-zero,1703553097,12/26/2023,1:11,255,61.16,0,1435,3.42,81.23
gb-sasbjep,gb-sasbjep-zero,1703553698,12/26/2023,1:21,255,61.26,0,1436,3.42,81.23
gb-sasbjep,gb-sasbjep-zero,1703554297,12/26/2023,1:31,21.41,255,0,1436,3.41,81.13
gb-sasbjep,gb-sasbjep-zero,1703554898,12/26/2023,1:41,255,255,0,1437,3.41,81.13
gb-sasbjep,gb-sasbjep-zero,1703555497,12/26/2023,1:51,255,255,0,1437,3.41,81.13
gb-sasbjep,gb-sasbjep-zero,1703556098,12/26/2023,2:01,21.37,255,0,1436,3.41,80.94
gb-sasbjep,gb-sasbjep-zero,1703556697,12/26/2023,2:11,255,255,0,1437,3.4,80.94
gb-sasbjep,gb-sasbjep-zero,1703557298,12/26/2023,2:21,21.32,255,0,1437,3.41,80.84
gb-sasbjep,gb-sasbjep-zero,1703557897,12/26/2023,2:31,21.29,255,0,1437,3.4,80.84
gb-sasbjep,gb-sasbjep-zero,1703558498,12/26/2023,2:41,21.31,255,0,1437,3.4,80.84
gb-sasbjep,gb-sasbjep-zero,1703559098,12/26/2023,2:51,21.28,255,0,1437,3.39,80.74
gb-sasbjep,gb-sasbjep-zero,1703559698,12/26/2023,3:01,255,61.78,0,1436,3.39,80.65
gb-sasbjep,gb-sasbjep-zero,1703560298,12/26/2023,3:11,21.3,255,0,1437,3.39,80.65
gb-sasbjep,gb-sasbjep-zero,1703560898,12/26/2023,3:21,255,61.87,0,1438,3.39,80.55
gb-sasbjep,gb-sasbjep-zero,1703561498,12/26/2023,3:31,21.12,255,0,1439,3.38,80.45
gb-sasbjep,gb-sasbjep-zero,1703562098,12/26/2023,3:41,255,61.95,0,1439,3.38,80.35
gb-sasbjep,gb-sasbjep-zero,1703562697,12/26/2023,3:51,20.99,255,0,1438,3.38,80.35
gb-sasbjep,gb-sasbjep-zero,1703563298,12/26/2023,4:01,20.94,255,0,1439,3.37,80.25
gb-sasbjep,gb-sasbjep-zero,1703563897,12/26/2023,4:11,255,255,0,1440,3.37,80.25
gb-sasbjep,gb-sasbjep-zero,1703564497,12/26/2023,4:21,255,255,0,1440,3.37,79.96
gb-sasbjep,gb-sasbjep-zero,1703565098,12/26/2023,4:31,20.83,255,0,1440,3.36,79.96
gb-sasbjep,gb-sasbjep-zero,1703565697,12/26/2023,4:41,20.85,255,0,1440,3.36,79.86
gb-sasbjep,gb-sasbjep-zero,1703566298,12/26/2023,4:51,20.83,255,0,1439,3.36,79.67
gb-sasbjep,gb-sasbjep-zero,1703566897,12/26/2023,5:01,20.66,255,0,1441,3.36,79.57
gb-sasbjep,gb-sasbjep-zero,1703567498,12/26/2023,5:11,20.62,255,0,1439,3.34,79.57
gb-sasbjep,gb-sasbjep-zero,1703568097,12/26/2023,5:21,255,255,0,1439,3.34,79.47
gb-sasbjep,gb-sasbjep-zero,1703568698,12/26/2023,5:31,255,255,0,1440,3.33,79.28
gb-sasbjep,gb-sasbjep-zero,1703569297,12/26/2023,5:41,20.51,255,0,1440,3.33,79.08
gb-sasbjep,gb-sasbjep-zero,1703569898,12/26/2023,5:51,255,255,0,1440,3.32,78.98
gb-sasbjep,gb-sasbjep-zero,1703570497,12/26/2023,6:01,255,255,0,1440,3.32,78.79
gb-sasbjep,gb-sasbjep-zero,1703571098,12/26/2023,6:11,20.44,255,0,1440,3.31,78.49
gb-sasbjep,gb-sasbjep-zero,1703571697,12/26/2023,6:21,20.43,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703572298,12/26/2023,6:31,20.44,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703572897,12/26/2023,6:41,20.4,255,0,1441,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703573497,12/26/2023,6:51,20.37,255,0,1440,3.31,78.49
gb-sasbjep,gb-sasbjep-zero,1703574097,12/26/2023,7:01,20.37,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703574698,12/26/2023,7:11,255,63.34,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703575297,12/26/2023,7:21,255,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703575897,12/26/2023,7:31,255,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703576497,12/26/2023,7:41,255,63.54,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703577098,12/26/2023,7:51,255,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703577697,12/26/2023,8:01,20.29,255,0,1440,3.31,78.69
gb-sasbjep,gb-sasbjep-zero,1703578297,12/26/2023,8:11,255,255,0,1440,3.3,78.59
gb-sasbjep,gb-sasbjep-zero,1703578897,12/26/2023,8:21,255,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703579498,12/26/2023,8:31,255,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703580097,12/26/2023,8:41,20.24,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703580698,12/26/2023,8:51,20.2,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703581297,12/26/2023,9:01,20.23,255,0,1441,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703581898,12/26/2023,9:11,255,255,0,1441,3.3,78.59
gb-sasbjep,gb-sasbjep-zero,1703582497,12/26/2023,9:21,20.18,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703583098,12/26/2023,9:31,20.19,255,0,1441,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703583697,12/26/2023,9:41,20.2,255,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703584298,12/26/2023,9:51,20.26,255,0,1440,3.31,78.69
gb-sasbjep,gb-sasbjep-zero,1703584897,12/26/2023,10:01,20.2,255,0,1441,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703585498,12/26/2023,10:11,255,255,0,1440,3.3,78.59
gb-sasbjep,gb-sasbjep-zero,1703586097,12/26/2023,10:21,255,64.63,0,1440,3.31,78.69
gb-sasbjep,gb-sasbjep-zero,1703586698,12/26/2023,10:31,255,64.74,0,1440,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703616286,12/26/2023,18:44,255,255,3,1451,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703616985,12/26/2023,18:56,255,69.77,4,1449,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703617697,12/26/2023,19:08,22.9,70.52,5,1447,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703618400,12/26/2023,19:20,22.98,255,6,1444,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703619107,12/26/2023,19:31,255,255,7,1446,3.31,79.18
gb-sasbjep,gb-sasbjep-zero,1703619812,12/26/2023,19:43,-50,255,8,1446,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703620516,12/26/2023,19:55,255,255,9,1446,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703621219,12/26/2023,20:07,22.87,255,10,1447,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703621922,12/26/2023,20:18,255,255,11,1447,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703622634,12/26/2023,20:30,255,255,12,1447,3.3,78.69
gb-sasbjep,gb-sasbjep-zero,1703623342,12/26/2023,20:42,255,70.08,13,1447,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703624053,12/26/2023,20:54,-50,255,14,1447,3.3,78.59
gb-sasbjep,gb-sasbjep-zero,1703624763,12/26/2023,21:06,255,255,15,1447,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703625466,12/26/2023,21:17,22.53,0,16,1448,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703626169,12/26/2023,21:29,255,69.86,17,1448,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703627016,12/26/2023,21:43,255,255,19,1449,3.31,78.69
gb-sasbjep,gb-sasbjep-zero,1703627727,12/26/2023,21:55,255,255,20,1449,3.31,78.59
gb-sasbjep,gb-sasbjep-zero,1703806721,12/28/2023,23:38,255,255,0,1472,4.12,97.95
gb-sasbjep,gb-sasbjep-zero,1703807407,12/28/2023,23:50,20.82,255,0,1461,4.12,97.85
gb-sasbjep,gb-sasbjep-zero,1703808063,12/29/2023,0:01,255,0,0,1465,4.11,97.65
gb-sasbjep,gb-sasbjep-zero,1703808683,12/29/2023,0:11,255,255,0,1458,4.11,97.65
gb-sasbjep,gb-sasbjep-zero,1703809337,12/29/2023,0:22,-50,255,0,1457,4.1,97.56
gb-sasbjep,gb-sasbjep-zero,1703809985,12/29/2023,0:33,255,255,0,1454,4.1,97.56
gb-sasbjep,gb-sasbjep-zero,1703810618,12/29/2023,0:43,255,255,0,1459,4.06,96.58
gb-sasbjep,gb-sasbjep-zero,1703811263,12/29/2023,0:54,255,255,0,1459,4.1,97.46
gb-sasbjep,gb-sasbjep-zero,1703811918,12/29/2023,1:05,255,255,0,1460,4.1,97.36
gb-sasbjep,gb-sasbjep-zero,1703812539,12/29/2023,1:15,255,255,0,1456,4.09,97.26
gb-sasbjep,gb-sasbjep-zero,1703813188,12/29/2023,1:26,255,255,0,1461,4.09,97.26
gb-sasbjep,gb-sasbjep-zero,1703813845,12/29/2023,1:37,255,255,0,1457,4.09,97.17
gb-sasbjep,gb-sasbjep-zero,1703814480,12/29/2023,1:48,255,255,0,1462,4.09,97.17
